HOCOID SYMBOL ENSEMBL COLLECTION EXPERIMENT QUALITY
SUH.H12INVIVO.0.P.B SUH ENSG00000168214 H12INVIVO P B
HIF3A.H12INVIVO.0.P.C HIF3A ENSG00000124440 H12INVIVO P C
HIF3A.H12INVIVO.1.P.C HIF3A ENSG00000124440 H12INVIVO P C
SPDEF.H12INVIVO.0.PSM.A SPDEF ENSG00000124664 H12INVIVO PSM A
SPDEF.H12INVIVO.1.SM.B SPDEF ENSG00000124664 H12INVIVO SM B
SOX4.H12INVIVO.0.PSM.A SOX4 ENSG00000124766 H12INVIVO PSM A
RUNX2.H12INVIVO.0.P.B RUNX2 ENSG00000124813 H12INVIVO P B
RUNX2.H12INVIVO.1.S.B RUNX2 ENSG00000124813 H12INVIVO S B
RUNX2.H12INVIVO.2.M.C RUNX2 ENSG00000124813 H12INVIVO M C
GCM2.H12INVIVO.0.SM.D GCM2 ENSG00000124827 H12INVIVO SM D
SOX21.H12INVIVO.0.S.D SOX21 ENSG00000125285 H12INVIVO S D
IRF1.H12INVIVO.0.P.B IRF1 ENSG00000125347 H12INVIVO P B
SOX9.H12INVIVO.0.PS.A SOX9 ENSG00000125398 H12INVIVO PS A
SOX9.H12INVIVO.1.PS.A SOX9 ENSG00000125398 H12INVIVO PS A
SOX9.H12INVIVO.2.S.B SOX9 ENSG00000125398 H12INVIVO S B
PAX8.H12INVIVO.0.PSM.A PAX8 ENSG00000125618 H12INVIVO PSM A
FOSB.H12INVIVO.0.P.B FOSB ENSG00000125740 H12INVIVO P B
FOSB.H12INVIVO.1.M.C FOSB ENSG00000125740 H12INVIVO M C
FOSB.H12INVIVO.2.M.C FOSB ENSG00000125740 H12INVIVO M C
FOXA2.H12INVIVO.0.PSM.A FOXA2 ENSG00000125798 H12INVIVO PSM A
FOXA2.H12INVIVO.1.SM.B FOXA2 ENSG00000125798 H12INVIVO SM B
PAX1.H12INVIVO.0.SM.D PAX1 ENSG00000125813 H12INVIVO SM D
CENPB.H12INVIVO.0.S.D CENPB ENSG00000125817 H12INVIVO S D
OVOL2.H12INVIVO.0.PSM.A OVOL2 ENSG00000125850 H12INVIVO PSM A
MAX.H12INVIVO.0.PS.A MAX ENSG00000125952 H12INVIVO PS A
MAX.H12INVIVO.1.M.C MAX ENSG00000125952 H12INVIVO M C
MAX.H12INVIVO.2.S.C MAX ENSG00000125952 H12INVIVO S C
NR1D1.H12INVIVO.0.P.B NR1D1 ENSG00000126368 H12INVIVO P B
NR1D1.H12INVIVO.1.SM.B NR1D1 ENSG00000126368 H12INVIVO SM B
IRF3.H12INVIVO.0.PS.A IRF3 ENSG00000126456 H12INVIVO PS A
IRF3.H12INVIVO.1.SM.B IRF3 ENSG00000126456 H12INVIVO SM B
ELK1.H12INVIVO.0.PSM.A ELK1 ENSG00000126767 H12INVIVO PSM A
SIX1.H12INVIVO.0.P.B SIX1 ENSG00000126778 H12INVIVO P B
SIX1.H12INVIVO.1.SM.B SIX1 ENSG00000126778 H12INVIVO SM B
KLF2.H12INVIVO.0.S.D KLF2 ENSG00000127528 H12INVIVO S D
ATF4.H12INVIVO.0.P.B ATF4 ENSG00000128272 H12INVIVO P B
ATF4.H12INVIVO.1.S.B ATF4 ENSG00000128272 H12INVIVO S B
