SYMBOL ENSEMBL HOCOID
Hoxb9 ENSMUSG00000020875 HXB9.0.S.D
Hoxb9 ENSMUSG00000020875 HXB9.1.M.D
Hoxc10 ENSMUSG00000022484 HXC10.0.P.B
Hoxc10 ENSMUSG00000022484 HXC10.1.S.B
Hoxc10 ENSMUSG00000022484 HXC10.2.SM.B
Hoxc11 ENSMUSG00000001656 HXC11.0.SM.D
Hoxc11 ENSMUSG00000001656 HXC11.1.S.D
Hoxc12 ENSMUSG00000050328 HXC12.0.SM.D
Hoxc13 ENSMUSG00000001655 HXC13.0.SM.D
Hoxc4 ENSMUSG00000075394 HXC4.0.SM.D
Hoxc8 ENSMUSG00000001657 HXC8.0.SM.D
Hoxc9 ENSMUSG00000036139 HXC9.0.P.B
Hoxc9 ENSMUSG00000036139 HXC9.1.S.C
Hoxc9 ENSMUSG00000036139 HXC9.2.M.C
Hoxd1 ENSMUSG00000042448 HXD1.0.SM.D
Hoxd10 ENSMUSG00000050368 HXD10.0.SM.D
Hoxd11 ENSMUSG00000042499 HXD11.0.PS.A
Hoxd11 ENSMUSG00000042499 HXD11.1.SM.B
Hoxd12 ENSMUSG00000001823 HXD12.0.SM.D
Hoxd13 ENSMUSG00000001819 HXD13.0.PS.A
Hoxd13 ENSMUSG00000001819 HXD13.1.SM.B
Hoxd3 ENSMUSG00000079277 HXD3.0.SM.D
Hoxd4 ENSMUSG00000101174 HXD4.0.SM.D
Hoxd8 ENSMUSG00000027102 HXD8.0.SM.D
Hoxd9 ENSMUSG00000043342 HXD9.0.SM.D
Irf1 ENSMUSG00000018899 IRF1.0.P.B
Irf2 ENSMUSG00000031627 IRF2.0.PSM.A
Irf3 ENSMUSG00000003184 IRF3.0.PS.A
Irf3 ENSMUSG00000003184 IRF3.1.SM.B
Irf4 ENSMUSG00000021356 IRF4.0.P.B
Irf4 ENSMUSG00000021356 IRF4.1.S.B
Irf4 ENSMUSG00000021356 IRF4.2.SM.B
Irf5 ENSMUSG00000029771 IRF5.0.SM.B
Irf5 ENSMUSG00000029771 IRF5.1.S.B
Irf6 ENSMUSG00000026638 IRF6.0.SM.D
Irf6 ENSMUSG00000026638 IRF6.1.S.D
Irf7 ENSMUSG00000025498 IRF7.0.S.D
Irf7 ENSMUSG00000025498 IRF7.1.SM.D
Irf8 ENSMUSG00000041515 IRF8.0.P.B
Irf8 ENSMUSG00000041515 IRF8.1.SM.B
Irf8 ENSMUSG00000041515 IRF8.2.SM.B
Irf9 ENSMUSG00000002325 IRF9.0.PSM.A
Irx1 ENSMUSG00000060969 IRX1.0.S.D
Irx2 ENSMUSG00000001504 IRX2.0.S.D
Irx3 ENSMUSG00000031734 IRX3.0.M.D
Irx3 ENSMUSG00000031734 IRX3.1.S.D
Irx3 ENSMUSG00000031734 IRX3.2.S.D
Irx5 ENSMUSG00000031737 IRX5.0.M.D
Irx5 ENSMUSG00000031737 IRX5.1.SM.D
Isl1 ENSMUSG00000042258 ISL1.0.PSM.A
Isl2 ENSMUSG00000032318 ISL2.0.SM.D
Isx ENSMUSG00000031621 ISX.0.SM.D
Isx ENSMUSG00000031621 ISX.1.S.D
Isx ENSMUSG00000031621 ISX.2.SM.D
Tcf4 ENSMUSG00000053477 ITF2.0.S.B
Tcf4 ENSMUSG00000053477 ITF2.1.PSM.A
Jdp2 ENSMUSG00000034271 JDP2.0.SM.D
Jun ENSMUSG00000052684 JUN.0.P.B
Jun ENSMUSG00000052684 JUN.1.S.C
Junb ENSMUSG00000052837 JUNB.0.PM.A
Junb ENSMUSG00000052837 JUNB.1.S.C
Jund ENSMUSG00000071076 JUND.0.PM.A
Jund ENSMUSG00000071076 JUND.1.SM.B
Zbtb33 ENSMUSG00000048047 KAISO.0.P.B
Zbtb33 ENSMUSG00000048047 KAISO.1.P.B
Klf1 ENSMUSG00000054191 KLF1.0.P.B
Klf10 ENSMUSG00000037465 KLF10.0.P.C
Klf10 ENSMUSG00000037465 KLF10.1.PSM.A
Klf11 ENSMUSG00000020653 KLF11.0.P.B
Klf11 ENSMUSG00000020653 KLF11.1.SM.B
Klf12 ENSMUSG00000072294 KLF12.0.P.C
Klf12 ENSMUSG00000072294 KLF12.1.PSM.A
Klf13 ENSMUSG00000052040 KLF13.0.PSM.A
Klf13 ENSMUSG00000052040 KLF13.1.P.C
Klf14 ENSMUSG00000073209 KLF14.0.PSM.A
Klf14 ENSMUSG00000073209 KLF14.1.P.C
Klf15 ENSMUSG00000030087 KLF15.0.S.B
Klf15 ENSMUSG00000030087 KLF15.1.P.C
Klf16 ENSMUSG00000035397 KLF16.0.SM.B
Klf16 ENSMUSG00000035397 KLF16.1.P.B
Klf17 ENSMUSG00000048626 KLF17.0.M.C
Klf17 ENSMUSG00000048626 KLF17.1.P.C
Klf2 ENSMUSG00000055148 KLF2.0.S.D
Klf3 ENSMUSG00000029178 KLF3.0.PS.A
Klf3 ENSMUSG00000029178 KLF3.1.M.C
Klf4 ENSMUSG00000003032 KLF4.0.PSM.A
Klf5 ENSMUSG00000005148 KLF5.0.PM.A
Klf6 ENSMUSG00000000078 KLF6.0.P.B
Klf6 ENSMUSG00000000078 KLF6.1.SM.B
Klf7 ENSMUSG00000025959 KLF7.0.P.B
Klf8 ENSMUSG00000041649 KLF8.0.P.C
Klf8 ENSMUSG00000041649 KLF8.1.P.C
Klf9 ENSMUSG00000033863 KLF9.0.P.B
Klf9 ENSMUSG00000033863 KLF9.1.P.B
Kmt2a ENSMUSG00000002028 KMT2A.0.P.B
Kmt2b ENSMUSG00000006307 KMT2B.0.P.B
Lbx2 ENSMUSG00000034968 LBX2.0.S.D
Lbx2 ENSMUSG00000034968 LBX2.1.S.D
Lbx2 ENSMUSG00000034968 LBX2.2.M.D
